Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
57,63323,17327,3531,4645,2545,396,2359,1327,1408,2401,1945,1194
1293,22219,15142,3105,1305,4993,298,7278,915,1277,2742,2731,3928
1119,36282,18828,9763,1599,3885,380,7859,1427,2559,4045,1088,1332
585,27805,14508,6959,4970,2733,335,1797,1904,1678,1070,2102,1909
375,22961,13508,3889,6462,2533,341,2677,928,2685,2048,2771,3630
276,24931,8633,5741,2135,1025,296,7633,1370,1268,2528,1723,1703
747,67280,9760,7686,4075,4803,133,1477,1319,1690,4408,661,1040
129,42002,14766,5136,3618,2961,343,9243,2,1100,2682,2731,4572
1647,33859,18975,2127,6953,1168,314,4810,1134,2975,1062,2069,1160
1853,61360,18937,2602,1888,1230,385,8887,637,1844,1780,929,2944
