Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
675,40764,13133,6674,8962,1528,331,6403,1173,2309,2688,1525,2249
1665,53572,16445,4369,2128,4760,151,8623,1331,1455,3551,1886,2416
1982,20806,11040,4308,1815,4401,158,9814,463,116,3482,1399,2687
1084,26090,12045,4409,4823,3658,287,2809,1044,2569,3926,2338,310
1923,47788,18269,2644,5582,3379,264,8989,1147,1057,4527,2172,370
100,45851,7383,9024,7079,4365,465,3289,200,1876,1132,2410,4087
1180,76793,12898,9160,2436,1787,281,4717,1621,2799,4545,1478,2380
965,28702,19788,6653,8240,1749,193,8044,1099,1481,4814,2760,1272
793,55307,14884,3228,7782,2219,191,7922,766,22,3788,1214,2133
30,47480,13194,2423,4360,4192,183,1712,960,1331,4265,2384,419
