Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
629,57220,9470,8290,6898,4625,260,1232,1953,2462,3471,891,384
945,49548,12979,8631,8845,2093,370,8032,1132,1806,3504,2491,2369
573,28308,7203,2557,1270,1982,399,6263,1794,84,3963,1537,2598
908,56487,10699,2891,9151,2036,205,1770,896,2089,3394,1862,2405
1081,60118,16138,7209,3035,3170,385,4483,1474,1231,2097,2527,160
451,20190,18643,9597,5820,3973,484,9911,897,1082,1958,2575,3375
1610,28519,13186,3924,6480,4764,445,3552,160,742,2558,528,787
1291,42422,17519,2692,4440,2515,174,9640,133,2894,4591,965,4948
1079,37144,13429,3552,6162,2134,260,2715,294,2105,1770,1332,263
255,21636,6980,5403,5383,3413,385,5503,276,1309,1649,2125,4600
