Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
61,50000,19392,Allowance,7370,4451,331,1168,988,138,3370,1906,2277
62,Fifty Thousand,17520,8441,5128,2086,317,1700,708,174,3776,1641,1765
63,50000,19871,5269,9728,2718,312,1498,611,191,3835,1571,1867
64,Fifty Thousand,19673,Allowance,5094,3532,372,1150,810,106,3191,1200,2037
65,50000,14647,6004,9401,3054,348,1284,849,129,2284,1914,2941
66,Fifty Thousand,10654,7758,7654,3892,324,1520,712,119,3585,1989,2900
67,50000,13124,Allowance,5208,2681,331,1756,726,152,2112,1726,1729
68,Fifty Thousand,18802,6874,6355,3593,239,1095,992,125,2256,1638,2393
69,50000,15967,6222,5230,4181,274,1945,859,142,2994,1246,2939
70,Fifty Thousand,11154,Allowance,7925,3036,295,1328,558,105,2443,1373,1992
